date,dead,injured,lon,lat
2019-09-08,0,0,18.121564,59.306986
2019-09-09,0,0,13.958973,55.536613
2019-09-09,0,1,13.822883,58.706769
2019-09-11,0,0,23.493506,65.857089
2019-09-14,0,0,17.918662,59.522856
2019-09-15,0,0,13.016171,55.566316
2019-09-15,0,0,15.189536,59.282279
2019-09-16,0,0,11.944062,58.35594
2019-09-16,0,0,17.565476,59.854589
2019-09-16,0,1,13.051954,55.580371
2019-09-18,0,0,14.466657,56.073606
2019-09-18,0,2,12.892034,56.662464
2019-09-18,0,0,16.475853,59.602776
2019-09-19,0,0,13.09252,55.59449
2019-09-19,0,1,17.61402,59.813205
2019-09-21,0,1,17.578864,59.194877
2019-09-22,0,0,12.870283,56.671979
2019-09-22,0,0,12.784124,56.665982
2019-09-22,0,0,21.334478,65.288076
2019-09-22,0,0,18.056107,59.536789
2019-09-24,0,0,16.475515,59.352198
2019-09-24,0,0,16.208752,58.573541
2019-09-25,0,0,17.650996,59.874456
2019-09-25,0,0,17.674045,59.872193
2019-09-27,0,1,17.856788,59.627554
2019-09-27,0,0,17.932665,59.400625
2019-09-30,0,1,14.167093,56.03421
2019-10-02,0,0,17.605476,59.176376
2019-10-03,0,1,18.082252,59.299835
2019-10-05,0,0,13.84343,58.398869
2019-10-07,0,0,17.92505,59.392421
2019-10-07,1,0,18.092045,59.252872
2019-10-08,1,0,16.639434,57.740493
2019-10-12,1,0,17.854853,59.730027
2019-10-13,0,1,18.258237,59.394406
2019-10-17,0,0,15.238511,59.25885
2019-10-17,0,1,14.263621,57.774113
2019-10-19,0,1,17.808906,59.244919
2019-10-20,0,0,17.626284,59.196623
2019-10-21,0,0,11.838679,58.348885
2019-10-23,0,0,13.803504,58.365267
2019-10-23,0,0,16.476761,59.421341
2019-10-23,0,1,16.474003,59.601
2019-10-23,0,0,17.049027,60.485189
2019-10-28,0,0,17.886088,59.265693
2019-10-31,1,0,13.00852,55.560799
2019-11-01,0,1,10.539105,57.73631
2019-11-01,0,0,12.926317,57.725142
2019-11-01,0,0,22.083317,65.788406
2019-11-02,0,1,17.558067,59.851139
2019-11-03,0,0,12.896468,56.660787
2019-11-04,0,0,17.701498,59.814132
2019-11-04,0,0,13.978039,59.41761
2019-11-09,0,1,18.062686,59.336242
2019-11-09,1,0,13.008605,55.590459
2019-11-10,0,1,18.014736,59.33107
2019-11-11,0,1,18.001315,59.358338
2019-11-11,0,1,13.006162,55.57604
2019-11-12,0,0,13.017665,55.568138
2019-11-12,0,0,13.034201,55.586379
2019-11-12,0,0,17.886164,59.26659
2019-11-15,0,0,14.781735,56.884946
2019-11-15,0,1,17.588762,59.209954
2019-11-16,0,0,12.831199,55.87146
2019-11-18,0,0,17.639935,59.870186
2019-11-19,0,1,11.892658,57.732745
2019-11-21,0,0,15.232103,59.605492
2019-11-21,0,0,12.893679,56.251803
2019-11-21,0,0,17.856788,59.627554
